Name,Spin,Mass(pole),Mass(lat),Mass(bare),Mass(ren),Category,Momentum,Helicity,v_group,FP Layer,FP Type,gamma,Z,Layers,Amplitude,Active In
I_0,1.98,0.1291,0.0035,-0.3369,-0.0833,medium,0.000,0.15,0.000,19,crossover,0.007,24.653,2-32,249.4,"arithmetic, factual_recall, logical_reasoning"
I_1,0.45,0.1258,0.0007,-0.3469,-0.0833,medium,3.142,0.03,0.000,29,UV,2.371,24.718,14-32,16.4,logical_reasoning
I_2,0.56,0.1276,0.0013,-0.3469,-0.0833,medium,3.142,0.04,0.000,29,UV,2.371,24.718,14-32,14.8,pronoun_tracking
I_3,0.63,0.1265,0.0020,-0.3469,-0.0833,medium,3.142,0.04,0.000,29,UV,2.371,24.718,15-32,14.8,syntactic_agreement
I_4,0.57,0.1313,0.0010,-0.3469,-0.0833,medium,3.142,0.02,0.000,29,UV,2.371,24.718,15-32,13.8,arithmetic
I_5,0.74,0.1251,0.0030,-0.3469,-0.0833,medium,3.142,0.04,0.000,29,UV,2.371,24.718,15-32,12.8,factual_recall
I_6,1.62,0.1264,0.0472,-0.2430,-0.1189,medium,3.142,1.60,0.000,24,crossover,2.315,24.146,10-32,9.7,logical_reasoning
I_7,1.45,0.1247,0.0543,-0.2430,-0.1189,medium,3.142,1.43,0.000,24,crossover,2.315,24.146,14-32,9.2,arithmetic
I_8,1.54,0.1313,0.0509,-0.2430,-0.1189,medium,3.142,1.53,0.000,24,crossover,2.315,24.146,11-32,9.1,pronoun_tracking
I_9,1.50,0.1292,0.0518,-0.2430,-0.1189,medium,3.142,1.49,0.000,24,crossover,2.315,24.146,14-32,9.0,syntactic_agreement
I_10,1.57,0.1268,0.0409,-0.2430,-0.1189,medium,3.142,1.55,0.000,24,crossover,2.315,24.146,10-32,8.6,factual_recall
I_11,1.56,0.1270,0.0345,-0.3501,-0.0939,medium,1.047,1.55,0.002,12,crossover,2.287,25.601,12-32,8.1,logical_reasoning
I_12,1.50,0.1236,0.0246,-0.3501,-0.0939,medium,1.047,1.50,0.002,12,crossover,2.287,25.601,14-32,7.5,arithmetic
I_13,1.54,0.1309,0.0377,-0.3501,-0.0939,medium,1.047,1.54,0.002,12,crossover,2.287,25.601,13-32,7.5,pronoun_tracking
I_14,1.47,0.1244,0.0316,-0.3501,-0.0939,medium,1.047,1.47,0.002,12,crossover,2.287,25.601,12-32,7.3,syntactic_agreement
I_15,1.62,0.1282,0.0345,-0.3358,-0.0969,medium,1.571,1.61,0.005,25,crossover,2.312,28.037,11-32,7.2,logical_reasoning
I_16,1.63,0.1211,0.0336,-0.3501,-0.0939,medium,1.047,1.62,0.002,12,crossover,2.287,25.601,13-32,6.6,factual_recall
I_17,1.64,0.1255,0.0515,-0.3325,-0.0793,medium,3.142,1.64,0.000,25,crossover,2.315,27.579,12-32,6.5,logical_reasoning
I_18,1.62,0.1270,0.0343,-0.3358,-0.0969,medium,1.571,1.62,0.005,25,crossover,2.312,28.037,14-32,6.5,pronoun_tracking
I_19,1.67,0.1246,0.0570,-0.3358,-0.0969,medium,1.571,1.67,0.005,25,crossover,2.312,28.037,12-32,6.5,arithmetic
I_20,1.59,0.1238,0.0341,-0.3358,-0.0969,medium,1.571,1.58,0.005,25,crossover,2.312,28.037,11-32,6.2,syntactic_agreement
I_21,1.66,0.1256,0.0574,-0.3325,-0.0793,medium,3.142,1.65,0.000,25,crossover,2.315,27.579,14-32,5.9,pronoun_tracking
I_22,1.65,0.1214,0.0594,-0.3358,-0.0969,medium,1.571,1.64,0.005,25,crossover,2.312,28.037,14-32,5.6,factual_recall
I_23,1.63,0.1235,0.0688,-0.3325,-0.0793,medium,3.142,1.63,0.000,25,crossover,2.315,27.579,14-32,5.6,arithmetic
I_24,1.61,0.1248,0.0458,-0.3325,-0.0793,medium,3.142,1.60,0.000,25,crossover,2.315,27.579,14-32,5.4,syntactic_agreement
