Prompt_Type,From_Species,To_Species,Count,Mean_Target_Mode_Activation_Shift
grounded_factual,I_0,I_0,100,0.8757660912754502
grounded_factual,I_5,I_5,16,0.6905424425639682
grounded_factual,I_0,I_5,16,0.6791965594869578
grounded_factual,I_0,I_4,2,0.7101710424321241
grounded_factual,I_0,I_1,2,0.5717103146510669
grounded_factual,I_4,I_4,1,0.7729987728187893
grounded_factual,I_1,I_1,1,0.6430695298808167
grounded_factual,I_1,I_5,1,0.5307556787627288
grounded_factual,I_4,I_1,1,0.5286957489448139
hallucination_prone,I_0,I_0,95,1.3526393702900732
hallucination_prone,I_5,I_5,23,0.6045913552850533
hallucination_prone,I_0,I_5,16,0.5862931578075984
hallucination_prone,I_2,I_0,1,0.8378891470032283
hallucination_prone,I_0,I_2,1,0.8236567175725553
hallucination_prone,I_1,I_1,1,0.6542127791541168
hallucination_prone,I_0,I_1,1,0.6388877591984817
hallucination_prone,I_4,I_4,1,0.5551260879973028
hallucination_prone,I_0,I_4,1,0.5436561331646986
stylistic_continuation,I_0,I_0,50,0.4183361391010236
stylistic_continuation,I_0,I_2,8,1.169274172164694
stylistic_continuation,I_2,I_2,7,1.2436817571376255
stylistic_continuation,I_5,I_2,1,0.9282972762482711
stylistic_continuation,I_2,I_5,1,0.8056500028567859
stylistic_continuation,I_0,I_5,1,0.5536787362890788
stylistic_continuation,I_0,I_4,1,0.5535015160339423
stylistic_continuation,I_4,I_1,1,0.535310538311536
