Prompt_Type,From_Species,To_Species,Count,Mean_Target_Mode_Activation_Shift
grounded_factual,I_5,I_5,115,2.754991081078584
grounded_factual,I_1,I_1,18,1.1988412520990455
grounded_factual,I_1,I_5,5,0.5492748444276401
grounded_factual,I_5,I_1,2,0.433425876324112
hallucination_prone,I_5,I_5,85,0.5082924234309321
hallucination_prone,I_1,I_1,28,0.4689665969582745
hallucination_prone,I_1,I_5,13,0.4628376178708254
hallucination_prone,I_5,I_1,4,0.4554877103427895
hallucination_prone,I_3,I_3,3,0.5387548160053635
hallucination_prone,I_3,I_5,3,0.4485874327021189
hallucination_prone,I_1,I_3,2,0.4614015407981821
hallucination_prone,I_5,I_3,1,0.44919982572370254
hallucination_prone,I_3,I_1,1,0.44563485254817686
stylistic_continuation,I_3,I_3,41,0.6903160385536499
stylistic_continuation,I_4,I_4,13,2.0909266713010624
stylistic_continuation,I_5,I_5,4,0.4162458802694925
stylistic_continuation,I_3,I_4,3,0.4552074975766091
stylistic_continuation,I_1,I_3,2,0.4480701156082102
stylistic_continuation,I_4,I_3,2,0.4393041921901055
stylistic_continuation,I_3,I_5,2,0.43748632149123634
stylistic_continuation,I_5,I_1,1,0.43714616430276115
stylistic_continuation,I_1,I_4,1,0.4362481476860591
stylistic_continuation,I_1,I_1,1,0.4269017210351773
